#ne in cm^-3	Te 3eV	Te 3.5 eV	Te 4 eV	Te 4.5 eV	Te 5 eV	Te 6 eV	Te 8 eV
5.00E+09	0.24	0.23	0.23	0.22	0.22	0.22	0.22
7.00E+09	0.24	0.24	0.23	0.23	0.23	0.23	0.23
1.00E+10	0.25	0.25	0.24	0.24	0.24	0.24	0.23
2.00E+10	0.28	0.27	0.27	0.27	0.26	0.26	0.25
5.00E+10	0.37	0.36	0.35	0.34	0.33	0.32	0.32
7.00E+10	0.42	0.41	0.39	0.38	0.38	0.36	0.35
1.00E+11	0.49	0.47	0.45	0.44	0.43	0.42	0.4
2.00E+11	0.98	0.93	0.89	0.86	0.85	0.81	0.77
5.00E+11	1.09	1.03	1	0.97	0.94	0.91	0.87
1.00E+12	1.19	1.13	1.09	1.07	1.05	1.01	0.97
2.00E+12	1.33	1.28	1.26	1.23	1.22	1.19	1.16
5.00E+12	1.51	1.48	1.47	1.46	1.45	1.45	1.45
7.00E+12	1.61	1.58	1.58	1.57	1.57	1.58	1.6
1.00E+13	1.73	1.73	1.73	1.73	1.74	1.75	1.8
2.00E+13	2.06	2.07	2.09	2.11	2.13	2.18	2.28
5.00E+13	2.54	2.59	2.64	2.68	2.73	2.83	3.03
1.00E+14	2.84	2.88	2.95	3.03	3.08	3.21	3.44
5.00E+14	2.93	2.95	2.99	3.04	3.1	3.17	3.38
1.00E+15	2.72	2.73	2.76	2.78	2.81	2.88	3.01
